Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
CNBX,CANNIBICS PHARMACEUTICALS,OTCQB,0.980000,51.194200,113530,Common Stock,USA,Maryland
IPIX,INNOVATION PHARMACEUTICAL,OTCQB,0.960000,112.893800,150103,Common Stock,USA,Massachusetts
IGXT,INTELGENX TECHS CORP,OTCQX U.S.,0.952500,400.024700,173510,Common Stock,Canada,Quebec
KWFLF,CANNABIS WHEATON INCOME,OTC Pink Current,0.838000,309.110400,225676,Foreign Ordinary Shares,Canada,British Columbia
ZPAS,ZOOMPASS HOLDINGS INC,OTC Pink Current,0.830000,56.607200,176663,Common Stock,Canada,Ontario
SBMFF,SINO BIOPHARM ORD,OTC Pink Current,0.788000,137.203000,190000,Foreign Ordinary Shares,Hong Kong,
NSFC,NORTHERN STS FINCL CORP,OTC Pink Current,0.770000,72.124300,220719,Common Stock,USA,Illinois
MRLB,MIRAMAR LABS INC,OTCQB,0.720000,145.195100,278250,Common Stock,USA,California
ADAD,ADAIAH DISTR INC,OTC Pink Current,0.610000,95.132100,125620,Common Stock,Latvia,
OWCP,OWC PHARMS RESEARCH CORP,OTCQB,0.609300,51.678400,322717,Common Stock,Israel,
ARTH,ARCH THERAPEUTICS INC,OTCQB,0.600000,103.603400,271648,Common Stock,USA,Massachusetts
SPHRF,STARPHARMA HOLDINGS LTD,OTCQX International,0.590000,516.612500,184600,Foreign Ordinary Shares,Australia,Victoria
SCTFF,US COBALT INC ORD,OTCQB,0.565000,102.237800,230245,Foreign Ordinary Shares,Canada,British Columbia
MDRPF,MIDAS GOLD CORP ORD,OTCQX International,0.561500,73.212400,101549,Foreign Ordinary Shares,Canada,British Columbia
CTEQF,CLEAN TEQ HLDGS LTD MEL,OTCQX International,0.540000,109.263600,751858,Foreign Ordinary Shares,Australia,Victoria
MSRT,MASSROOTS INC,OTCQB,0.532100,90.111300,260084,Common Stock,USA,Colorado
FFMGF,FIRST MINING FINANCE CORP,OTCQX International,0.510000,109.722500,273724,Foreign Ordinary Shares,Canada,British Columbia
SPYR,SPYR INC,OTCQB,0.510000,83.922400,117439,Common Stock,USA,Colorado
FENX,FENIX PARTS INC,OTC Pink No Information,0.510000,900.000000,419511,Common Stock,USA,Illinois
FCUUF,FISSION URANIUM CORP ORD,OTCQX International,0.450000,42.934500,112994,Foreign Ordinary Shares,Canada,British Columbia
CLSH,CLS HOLDINGS USA INC,OTCQB,0.450000,186.495800,279601,Common Stock,USA,Colorado
LNGLF,LIQUEFIED NATURAL GAS LTD,OTC Pink Current,0.438000,77.673200,129721,Foreign Ordinary Shares,Australia,Western Australia
TMPS,TEMPUS APP SOL HLDG INC,OTCQB,0.420000,691.564900,562840,Common Stock,USA,Virginia
BITCF,FIRST BITCOIN CAPITAL ORD,OTC Pink Current,0.420000,59.270500,189164,Common Stock,Canada,British Columbia
PTGEF,PORTAGE BIOTECH INC ORD,OTC Pink Current,0.410000,137.552300,139543,Foreign Ordinary Shares,Canada,Ontario
NBGGY,NATL BK GREECE SP/ADR NEW,OTC Pink Current,0.408400,70.567700,2963406,ADRs,Greece,
CREX,CREATIVE REALITIES INC,OTCQX U.S.,0.390000,111.190100,164807,Common Stock,USA,Kentucky
PEMIF,PURE ENERGY MINERALS LTD,OTCQB,0.389800,127.835400,192406,Foreign Ordinary Shares,Canada,British Columbia
HUABF,HUABAO INTL HLDGS LTD ORD,OTC Pink Current,0.370000,899.940000,300000,Foreign Ordinary Shares,China,Hong Kong
ENZN,ENZON PHARMS INC,OTCQX U.S.,0.358960,142.338600,108813,Common Stock,USA,New Jersey
IMMD,IMMUDYNE INC,OTC Pink Limited,0.350100,47.240100,116350,Common Stock,USA,New York
ISVLF,IMPACT SILVER CORP ORD,OTC Pink Current,0.338000,155.418300,226400,Foreign Ordinary Shares,Canada,British Columbia
WINT,WINDTREE THERAPEUTICS INC,OTCQB,0.317000,607.406300,280531,Common Stock,USA,Pennsylvania
LQMT,LIQUIDMETAL TECHS INC,OTCQB,0.293000,60.027500,844530,Common Stock,USA,California
CBICF,CANADIAN BIOCEUTICAL CORP,OTCQB,0.291950,238.927600,126780,Foreign Ordinary Shares,Canada,Ontario
GBLX,GB SCIENCES INC,OTCQB,0.281230,64.193400,537726,Common Stock,USA,Nevada
CVSI,CV SCIENCES INC,OTCQB,0.279000,98.322900,169777,Common Stock,USA,Nevada
DYLLF,DEEP YELLOW LTD ORD NEW,OTC Pink Current,0.275000,521.562200,388868,Foreign Ordinary Shares,Australia,Western Australia
IMLFF,INMED PHARMS INC ORD,OTCQB,0.270000,28.398700,145258,Foreign Ordinary Shares,Canada,British Columbia
BDVB,BAGGER DAVE'S BURGER TAV,OTCQB,0.270000,193.640300,229236,Common Stock,USA,Michigan
OSSPF,OSPREY GOLD DEV LTD ORD,OTCQB,0.250000,742.719600,240512,Foreign Ordinary Shares,Canada,British Columbia
SVON,SEVION THERAPEUTICS INC,OTCQB,0.250000,268.690600,214092,Common Stock,USA,California
TRTC,TERRA TECH CORP,OTCQX U.S.,0.239500,107.374000,19570894,Common Stock,USA,California
TOWTF,TOWER ONE WIRELESS CORP,OTC Pink Current,0.225000,839.969800,275022,Foreign Ordinary Shares,Canada,British Columbia
NEPH,NEPHROS INC,OTCQB,0.221090,132.483500,124986,Common Stock,USA,New Jersey
EGTYF,EGUANA TECHS INC ORD,OTCQB,0.210000,361.628600,649756,Foreign Ordinary Shares,Canada,Alberta
ELTP,ELITE PHARMS INC,OTCQB,0.187000,75.326500,228111,Common Stock,USA,New Jersey
MCIG,MCIG INC,OTCQB,0.184000,27.651300,331803,Common Stock,USA,Nevada
NWBO,NORTHWEST BIOTHRPUTCS INC,OTCQB,0.172000,142.135400,593546,Common Stock,USA,Maryland
PNTV,PLAYERS NETWORK INC,OTCQB,0.168800,169.670600,6181619,Common Stock,USA,Nevada
AEPP,ADVANCED ENVIRO PET PROD,OTC Pink Current,0.145000,46.577700,1011899,Common Stock,USA,Texas
CCTC,CLEAN COAL TECHS INC,OTC Pink Current,0.129900,67.078900,304604,Common Stock,USA,New York
INNV,INNOVUS PHARMS INC,OTCQB,0.124800,39.915400,237870,Common Stock,USA,California
TITXF,TITAN MEDICAL INC ORD,OTCQB,0.124000,320.870200,343520,Foreign Ordinary Shares,Canada,Ontario
SRNA,SURNA INC,OTCQB,0.118500,33.395300,139261,Common Stock,USA,Colorado
RGCTF,REDSTAR GOLD CORP,OTCQB,0.117600,166.307200,185451,Foreign Ordinary Shares,Canada,British Columbia
QTMM,QUANTUM MATERIALS CORP,OTCQB,0.116600,49.682400,244324,Common Stock,USA,Texas
MYHI,MOUNTAIN HIGH ACQSTN CRP,OTCQB,0.115500,94.883000,360064,Common Stock,USA,Arizona
SFEG,SANTA FE GOLD CORP,OTC Pink No Information,0.114000,77.476700,754691,Common Stock,USA,New Mexico
BICX,BIOCORRX INC,OTCQB,0.112500,67.012300,248424,Common Stock,USA,California
OCLN,ORIGINCLEAR INC,OTCQB,0.112100,123.343400,115545,Common Stock,USA,California
EVSI,ENVISION SOLAR INTL INC,OTCQB,0.108050,103.107800,207055,Common Stock,USA,California
ADMD,ADVANCED MED ISOTOPE CP,OTC Pink Current,0.108000,144.932400,330036,Common Stock,USA,Washington
ATTBF,ABATTIS BIOCEUTICALS ORD,OTCQB,0.105500,29.510200,166402,Foreign Ordinary Shares,Canada,British Columbia
MJNA,MEDICAL MARIJUANA INC,OTC Pink Current,0.105000,55.724000,3876270,Common Stock,USA,California
FTWS,FLITWAYS TECHNOLOGY INC,OTC Pink Current,0.100000,180.141400,153594,Common Stock,USA,California
DDDX,3DX INDUSTRIES INC,OTC Pink No Information,0.099900,83.498000,118761,Common Stock,USA,Washington
GIGL,GIGGLES N HUGS INC,OTCQB,0.094500,46.559400,174040,Common Stock,USA,California
TWER,TOWERSTREAM CORP,OTCQB,0.092700,342.608700,629977,Common Stock,USA,Rhode Island
AMFE,AMFIL TECHNOLOGIES INC,OTC Pink Current,0.086670,66.782100,605785,Common Stock,Canada,Ontario
LYSCF,LYNAS CORP LTD ORD,OTC Pink Current,0.083000,70.759000,271298,Foreign Ordinary Shares,Malaysia,
BTSC,BITCOIN SERVICES INC,OTC Pink Current,0.082430,75.927100,2593980,Common Stock,USA,Michigan
FAGI,FULL ALLIANCE GROUP INC,OTC Pink Current,0.075000,189.775700,251826,Common Stock,USA,California
CRCUF,CANARC RESOURCE CORP,OTCQB,0.072000,42.248600,174700,Foreign Ordinary Shares,Canada,British Columbia
DSGT,DSG GLOBAL INC,OTCQB,0.070000,419.388300,314882,Common Stock,Canada,British Columbia
POTN,POTNETWORK HLDGS INC,OTC Pink Current,0.068000,54.387600,1520226,Common Stock,USA,Florida
RGIN,REGENICIN INC,OTC Pink Current,0.067500,235.409200,135569,Common Stock,USA,New Jersey
RMHB,ROCKY MTN HIGH BRAND INC,OTCQB,0.066500,61.185400,1441039,Common Stock,USA,Texas
CBRIQ,CIBER INC,OTC Pink Current,0.066500,96.577000,108149,Common Stock,USA,Colorado
WARM,COOL TECHNOLOGIES INC,OTCQB,0.064760,115.902400,297400,Common Stock,USA,Florida
KRED,KONARED CORPORATION,OTCQB,0.063250,58.765400,152449,Common Stock,USA,California
LTUM,LITHIUM CORP,OTCQB,0.061800,68.281700,117520,Common Stock,USA,Nevada
MXSG,MEXUS GOLD US,OTCQB,0.061000,75.190300,158000,Common Stock,USA,Nevada
INIS,INTL ISOTOPES INC,OTCQB,0.060000,185.535800,304645,Common Stock,USA,Idaho
EWLL,EWELLNESS HEALTHCARE CORP,OTCQB,0.060000,86.333900,538125,Common Stock,USA,California
PMCB,PHARMACYTE BIOTECH INC,OTCQB,0.058000,88.756800,440634,Common Stock,USA,California
KBLB,KRAIG BIOCRAFT LABS INC,OTCQB,0.058000,94.674300,103781,Common Stock,USA,Michigan
DOLV,DOLAT VENTURES INC,OTC Pink Limited,0.056500,34.004700,7927816,Common Stock,China,
FRLF,FREEDOM LEAF INC,OTCQB,0.053500,243.087700,161929,Common Stock,USA,Nevada
BTCS,BTCS INC,OTC Pink Limited,0.053120,60.861000,664350,Common Stock,USA,Virginia
CBIS,CANNABIS SCIENCE INC,OTC Pink Limited,0.052000,39.363800,4553814,Common Stock,USA,California
EGYF,ENERGY FINDERS INC,OTC Pink No Information,0.051900,166.745300,144000,Common Stock,USA,Nevada
VNRSQ,VANGUARD NATURAL RES LLC,OTC Pink Current,0.050100,91.038600,246645,Common Stock,USA,Texas
BFNH,BIOFORCE NANOSCIENCES HLD,OTC Pink Current,0.050000,413.081000,210081,Common Stock,USA,Virginia
SUNEQ,SUNEDISON INC,OTC Pink No Information,0.049500,38.928800,164132,Common Stock,USA,Missouri
USRM,U S STEM CELL INC,OTCQB,0.049000,62.698700,1492291,Common Stock,USA,Florida
GRNH,GREENGRO TECHS INC,OTC Pink Current,0.047800,65.492200,745547,Common Stock,USA,California
RIHT,RIGHTSCORP INC,OTCQB,0.047500,105.870100,213556,Common Stock,USA,California
SGMD,SUGARMADE INC,OTCQB,0.047000,110.236000,188167,Common Stock,USA,California
INNMF,INNATE IMMUNOTHER LTD ORD,OTC Pink Current,0.046000,754.582500,754277,Foreign Ordinary Shares,,
IMUN,IMMUNE THERAPEUTICS INC,OTCQB,0.045100,31.120700,208652,Common Stock,USA,Florida
AVGG,ADVANCED TECHS GROUP LTD,OTC Pink No Information,0.045000,900.000000,483802,Common Stock,USA,New Jersey
EDXC,ENDEXX CORP,OTC Pink Current,0.043000,42.981400,120593,Common Stock,USA,Arizona
ENRT,ENERTOPIA CORP,OTCQB,0.042700,25.377900,104821,Common Stock,Canada,British Columbia
SCIO,SCIO DIAMOND TECH CORP,OTC Pink Current,0.042000,69.817800,113000,Common Stock,USA,South Carolina
PSID,POSITIVEID CORP,OTCQB,0.041250,511.178000,562347,Common Stock,USA,Florida
PGAS,PETROGRESS INC,OTC Pink Current,0.040500,758.074900,1299857,Common Stock,USA,New York
QTWWQ,QUANTUM FUEL SYS TECH,OTC Pink No Information,0.039900,129.352100,201339,Common Stock,USA,California
ZRZH,ZEREZ HOLDINGS,OTC Pink Current,0.039150,50.952700,503211,Common Stock,USA,California
OMVS,ON THE MOVE SYS CRP,OTC Pink Current,0.038500,170.738500,2487942,Common Stock,USA,Nevada
BBEPQ,BREITBURN ENGY PTNRS UTS,OTC Pink Current,0.038200,50.947000,519697,Units,USA,California
CVAT,CAVITATION TECHS INC,OTCQB,0.037800,49.988200,229900,Common Stock,USA,California
MONIF,MONITISE PLC ORD,OTC Pink Current,0.036000,136.802000,1033000,Foreign Ordinary Shares,United Kingdom,England
ESPH,ECOSPHERE TECHS INC,OTCQB,0.035200,37.714500,140390,Common Stock,USA,Florida
FNHI,FRANCHISE HLDGS INTL INC,OTC Pink No Information,0.034500,25.198800,206256,Common Stock,Canada,Ontario
MHTX,MANHATTAN SCIENTIFICS INC,OTCQB,0.034400,137.754000,750436,Common Stock,USA,New York
PVCT,PROVECTUS BIOPHARMS,OTCQB,0.033500,60.755500,709568,Common Stock,USA,Tennessee
LLLI,LAMPERD LESS LETHAL INC,OTC Pink Current,0.032700,304.757000,787468,Common Stock,Canada,Ontario
ICLD,INTERCLOUD SYS INC,OTCQB,0.031000,65.657400,4615185,Common Stock,USA,New Jersey
ITKG,INTEGRAL TECHS INC,OTC Pink Current,0.030750,652.626200,1577958,Common Stock,USA,Indiana
BCCI,BARISTAS COFFEE CO INC,OTC Pink Current,0.030000,91.845300,480831,Common Stock,USA,Washington
ILIU,INTERLEUKIN GENETICS INC,OTCQB,0.029000,233.169500,600818,Common Stock,USA,Massachusetts
ENDV,ENDONOVO THERAPEUTICS INC,OTCQB,0.028050,51.439300,2247172,Common Stock,USA,California
RVUE,RVUE HOLDINGS INC,OTC Pink No Information,0.028000,236.031500,1273713,Common Stock,USA,Illinois
EPGL,EP GLOBAL COMMS INC,OTC Pink Current,0.026590,62.010800,109530,Common Stock,USA,California
PURA,PURATION INC,OTC Pink Current,0.025000,103.498500,1231825,Common Stock,USA,Texas
BRKK,BRK INC,OTC Pink Current,0.025000,62.207800,726370,Common Stock,USA,Nevada
SMKG,SMART CARD MKTG SYS INC,OTC Pink Limited,0.025000,197.201100,191672,Common Stock,USA,Delaware
MYMX,MYMETICS CORP,OTCQB,0.023600,108.109100,117670,Common Stock,Switzerland,
IFHR,RHINO HUMAN RES INC,OTC Pink Limited,0.023400,601.047800,1872361,Common Stock,USA,Nevada
GAHC,GLOBAL ARENA HLDG INC,OTC Pink Current,0.022000,65.389600,6695615,Common Stock,USA,New York
LFAP,LIFEAPPS BRANDS INC,OTC Pink Current,0.022000,112.124800,111200,Common Stock,USA,California
CETY,CLEAN ENERGY TECHNOLOGIES,OTC Pink Current,0.021400,86.592600,963440,Common Stock,USA,California
CANB,CANBIOLA INC,OTC Pink Current,0.021000,80.802900,100000,Common Stock,USA,Florida
SSFT,SONASOFT CORP,OTC Pink Limited,0.021000,360.530200,109000,Common Stock,USA,California
SING,SINGLEPOINT INC,OTC Pink Current,0.020800,218.765500,3955763,Common Stock,USA,Arizona
HEMP,HEMP INC,OTC Pink Current,0.020500,83.669800,12479974,Common Stock,USA,Nevada
MCOA,MARIJUANA CO OF AMER INC,OTC Pink Current,0.020500,59.529600,2480863,Common Stock,USA,California
RBIZ,REALBIZ MEDIA GROUP INC,OTCQB,0.020000,118.875300,145000,Common Stock,USA,Maryland
ENUM,ENUMERAL BIOMEDICAL HLDS,OTCQB,0.020000,198.906600,444700,Common Stock,USA,Massachusetts
OMHE,OMNI HEALTH INC,OTC Pink Current,0.020000,139.918200,329762,Common Stock,USA,Florida
EAPH,EASTON PHARMS INC,OTC Pink Current,0.019800,44.821900,1250357,Common Stock,Canada,Ontario
PGUS,PROGREEN US INC,OTCQB,0.019680,59.940400,124500,Common Stock,USA,Michigan
RXMD,PROGRESSIVE CARE INC,OTC Pink Current,0.019000,20.659700,354028,Common Stock,USA,Florida
TRKG,TRACKING CORP,OTC Pink No Information,0.019000,23.490200,304666,Common Stock,USA,Texas
VDRM,VIADERMA INC,OTC Pink Current,0.018900,51.340700,2414443,Common Stock,USA,California
OXIS,OXIS INTL INC,OTCQB,0.018000,154.731900,997516,Common Stock,USA,Florida
VLDI,VALIDIAN CORP,OTCQB,0.017000,66.537300,200000,Common Stock,Canada,Ontario
MLER,MOLLER INTL INC,OTC Pink No Information,0.017000,222.189700,230000,Common Stock,USA,California
SENY,SAUER ENERGY INC,OTCQB,0.016530,232.861400,1456790,Common Stock,USA,California
GPNE,NEXT GRAPHITE INC,OTC Pink Current,0.016400,44.313400,100000,Common Stock,USA,Nevada
ACOL,ACOLOGY INC,OTC Pink Current,0.016200,47.451900,1794874,Common Stock,USA,California
TRKK,ORBITAL TRACKING CORP,OTCQB,0.016000,93.135900,344209,Common Stock,USA,Florida
SAKL,SACK LUNCH PRODUCTIONS,OTC Pink Limited,0.016000,185.238800,258456,Common Stock,USA,Utah
PLPL,PLANDAI BIOTECHNOLOGY INC,OTC Pink Limited,0.014500,45.956900,324450,Common Stock,United Kingdom,England
CGNH,CARDIOGENICS HLDGS INC,OTC Pink No Information,0.014500,152.911200,383700,Common Stock,Canada,Ontario
SWRM,APPSWARM INC,OTC Pink Current,0.013500,74.850300,216593,Common Stock,USA,Oklahoma
RJDG,RJD GREEN INC,OTC Pink Current,0.013400,59.553600,440449,Common Stock,USA,Oklahoma
SIPC,SIPP INDUSTRIES INC NEW,OTC Pink Limited,0.013200,15.336900,251093,Common Stock,USA,California
NVIC,N-VIRO INTL CORP,OTC Pink No Information,0.013000,6.612000,161105,Common Stock,USA,Ohio
ICNB,ICONIC BRANDS INC,OTC Pink Current,0.012900,51.984800,5415791,Common Stock,USA,New York
SGBY,SIGNAL BAY INC,OTCQB,0.012800,85.413200,1211976,Common Stock,USA,Oregon
SFOR,STRIKEFORCE TECH INC,OTC Pink Current,0.012640,31.732900,2217206,Common Stock,USA,New Jersey
TVOG,TURNER VALLEY OIL&GAS INC,OTC Pink Current,0.012400,25.174100,199933,Common Stock,USA,Texas
MKAU,MK AUTOMOTIVE INC,OTC Pink Current,0.012400,37.628800,220200,Common Stock,USA,Arizona
PAOG,"PAO GROUP, INC.",OTC Pink Current,0.012000,35.518100,1364569,Common Stock,USA,Ohio
GRCU,GREEN CURES & BOTANICAL,OTC Pink Limited,0.012000,28.103100,160783,Common Stock,USA,California
AXPW,AXION POWER INTL INC NEW,OTC Pink Current,0.011900,146.032800,277279,Common Stock,USA,Pennsylvania
UBQU,UBIQUITECH SOFTWARE CORP,OTC Pink Current,0.011900,111.955200,2672428,Common Stock,USA,Colorado
BIEI,PREMIER BIOMEDICAL INC,OTCQB,0.011500,54.737600,1607176,Common Stock,USA,Pennsylvania
JNSH,JNS HOLDINGS CORP,OTC Pink Current,0.011400,125.012200,300000,Common Stock,USA,Illinois
ALYI,ALTERNET SYSTEMS INC,OTC Pink No Information,0.011230,82.717900,110000,Common Stock,USA,Florida
SBFM,SUNSHINE BIOPHARMA INC,OTC Pink Current,0.010800,587.003100,6122101,Common Stock,Canada,Quebec
AGTK,AGRITEK HOLDINGS INC,OTCQB,0.010700,146.312300,2962180,Common Stock,USA,Florida
MVES,THE MOVIE STUDIO INC,OTC Pink Current,0.010500,244.258100,2242840,Common Stock,USA,Florida
BMIX,BRAZIL MINERALS INC,OTC Pink Current,0.010000,182.196500,502874,Common Stock,Brazil,
BMBM,BMB MUNAI INC,OTC Pink Current,0.010000,58.791100,251500,Common Stock,USA,Utah
ELED,EXELED HOLDINGS INC,OTC Pink Current,0.010000,37.492100,1698878,Common Stock,USA,Colorado
KOSK,ONE STEP VENDING CORP,OTC Pink Current,0.010000,48.566400,117002,Common Stock,USA,New York
ARYC,ARRAYIT CORP,OTC Pink No Information,0.010000,93.599000,11121556,Common Stock,USA,California
TTCM,TAUTACHROME INC,OTCQB,0.009600,31.030400,515000,Common Stock,USA,Arizona
HYSR,HYPERSOLAR INC,OTCQB,0.009500,38.072700,246499,Common Stock,USA,California
SRSR,SARISSA RESOURCES INC,OTC Pink No Information,0.009500,313.837300,2462250,Common Stock,Canada,Ontario
SRCO,SPARTA COMML SVCS INC,OTC Pink No Information,0.009100,133.683900,2836990,Common Stock,USA,New York
TNEN,TRUE NORTH ENERGY CO,OTC Pink Current,0.008900,74.371600,287469,Common Stock,USA,Texas
IFBC,ITALIAN FOOD & BEV CORP,OTC Pink Current,0.008900,95.955900,1159000,Common Stock,USA,New York
BMXC,BEMAX INC,OTCQB,0.008890,105.683600,1796605,Common Stock,USA,Georgia
ASLRF,ARIAN SILVER CORP NEW,OTC Pink Current,0.008860,339.787300,101300,Foreign Ordinary Shares,United Kingdom,England
ENCC,ENCOMPASS COMPLIANCE CP,OTC Pink Current,0.008120,199.305000,1477304,Common Stock,USA,North Carolina
FERN,FERNHILL CORP,OTC Pink Current,0.008100,83.399600,2236857,Common Stock,USA,Arizona
EARI,ENTERTAINMENT ARTS RESH,OTC Pink Current,0.008000,231.094000,121000,Common Stock,USA,Georgia
KGKG,KONA GOLD SOLUTIONS INC,OTC Pink Current,0.007700,39.581100,5104719,Common Stock,USA,Florida
PXYN,PRAXSYN CORP,OTC Pink No Information,0.007600,58.780400,1231000,Common Stock,USA,California
LPPI,LEEP INC,OTC Pink No Information,0.007590,73.858300,172600,Common Stock,USA,Kentucky
MMEX,MMEX RESOURCES CORP,OTC Pink Current,0.007500,16.992600,4846743,Common Stock,USA,Texas
